String;PSČ;CC;Město;Okres;Kraj
54362-Dolní Branná, Dolní Bukovsko;54362;1;Dolní Branná;Dolní Bukovsko;
54371-Hostinné, Hostomice;54371;1;Hostinné;Hostomice;
54372-Rudník, Rudník;54372;1;Rudník;Rudník;
54373-Prosečné, Proseč;54373;1;Prosečné;Proseč;
54374-Dolní Kalná, Dolní Krupá;54374;1;Dolní Kalná;Dolní Krupá;
54375-Dolní Olešnice, Dolní Řasnice;54375;1;Dolní Olešnice;Dolní Řasnice;
54376-Chotěvice, Chotíkov;54376;1;Chotěvice;Chotíkov;
54377-Čermná, Čermná nad Orlicí;54377;1;Čermná;Čermná nad Orlicí;
54401-Dvůr Králové nad Labem, Dýšina;54401;1;Dvůr Králové nad Labem;Dýšina;
54404-Žireč, Žinkovy;54404;1;Žireč;Žinkovy;
54442-Choustníkovo Hradiště, Choustníkovo Hradiště;54442;1;Choustníkovo Hradiště;Choustníkovo Hradiště;
54443-Kuks, Kunčice nad Labem;54443;1;Kuks;Kunčice nad Labem;
54444-Horní Vlčkovice, Vlčkovice v Podkrkonoší;54444;1;Horní Vlčkovice;Vlčkovice v Podkrkonoší;
54451-Doubravice, Drahany;54451;1;Doubravice;Drahany;
54454-Velký Vřešťov, Velký Vřešťov;54454;1;Velký Vřešťov;Velký Vřešťov;
54455-Dubenec, Dubňany;54455;1;Dubenec;Dubňany;
54456-Hřibojedy, Hřivice;54456;1;Hřibojedy;Hřivice;
54461-Dolní Nemojov, Nemojov;54461;1;Dolní Nemojov;Nemojov;
54462-Kocléřov, Vitice;54462;1;Kocléřov;Vitice;
54464-Nové Kocbeře, Koclířov;54464;1;Nové Kocbeře;Koclířov;
54466-Hajnice, Hamr na Jezeře;54466;1;Hajnice;Hamr na Jezeře;
54472-Bílá Třemešná, Bezvěrov;54472;1;Bílá Třemešná;Bezvěrov;
54474-Horní Brusnice, Horní Dubenky;54474;1;Horní Brusnice;Horní Dubenky;
54475-Mostek, Mostek;54475;1;Mostek;Mostek;
54477-Borovnice, Borovany;54477;1;Borovnice;Borovany;
54701-Náchod, Náchod;54701;1;Náchod;Náchod;
54702-Staré Město nad Metují, Náchod;54702;1;Staré Město nad Metují;Náchod;
54703-Běloves, Náchod;54703;1;Běloves;Náchod;
54901-Nové Město nad Metují, Nové Město nad Metují;54901;1;Nové Město nad Metují;Nové Město nad Metují;
54902-Krčín, Nové Město pod Smrkem;54902;1;Krčín;Nové Město pod Smrkem;
54906-Bohuslavice, Bohuslavice;54906;1;Bohuslavice;Bohuslavice;
54907-Nahořany, Nahořany;54907;1;Nahořany;Nahořany;
54908-Šonov u Nového Města nad Metují, Provodín;54908;1;Šonov u Nového Města nad Metují;Provodín;
54911-Dolní Radechová, Dolní Rychnov;54911;1;Dolní Radechová;Dolní Rychnov;
54921-Česká Čermná, Česká Kamenice;54921;1;Česká Čermná;Česká Kamenice;
54922-Nový Hrádek, Nový Hrádek;54922;1;Nový Hrádek;Nový Hrádek;
54931-Hronov, Hroznětín;54931;1;Hronov;Hroznětín;
54932-Velké Poříčí, Velké Poříčí;54932;1;Velké Poříčí;Velké Poříčí;
54934-Velký Dřevíč, Hroznová Lhota;54934;1;Velký Dřevíč;Hroznová Lhota;
54936-Stárkov, Starosedlský Hrádek;54936;1;Stárkov;Starosedlský Hrádek;
54937-Žďárky, Žďár nad Sázavou;54937;1;Žďárky;Žďár nad Sázavou;
54941-Červený Kostelec, Červený Újezd;54941;1;Červený Kostelec;Červený Újezd;
54946-Horní Radechová, Horní Stropnice;54946;1;Horní Radechová;Horní Stropnice;
54948-Studnice, Studénka;54948;1;Studnice;Studénka;
54952-Horní Adršpach, Horní Beřkovice;54952;1;Horní Adršpach;Horní Beřkovice;
54954-Police nad Metují, Polevsko;54954;1;Police nad Metují;Polevsko;
54955-Žďár nad Metují, Zbytiny;54955;1;Žďár nad Metují;Zbytiny;
54956-Česká Metuje, Česká Metuje;54956;1;Česká Metuje;Česká Metuje;
54957-Teplice nad Metují, Teplýšovice;54957;1;Teplice nad Metují;Teplýšovice;
54962-Suchý Důl, Suchomasty;54962;1;Suchý Důl;Suchomasty;
54963-Machov, Majdalena;54963;1;Machov;Majdalena;
54964-Bezděkov nad Metují, Běšiny;54964;1;Bezděkov nad Metují;Běšiny;
54972-Otovice, Otovice;54972;1;Otovice;Otovice;
54973-Martínkovice, Martínkovice;54973;1;Martínkovice;Martínkovice;
54974-Božanov, Bouzov;54974;1;Božanov;Bouzov;
54981-Meziměstí, Meziměstí;54981;1;Meziměstí;Meziměstí;
54982-Vernéřovice, Vernéřovice;54982;1;Vernéřovice;Vernéřovice;
54983-Ruprechtice, Mikulášovice;54983;1;Ruprechtice;Mikulášovice;
54984-Heřmánkovice, Heřmanův Městec;54984;1;Heřmánkovice;Heřmanův Městec;
55001-Broumov, Broumy;55001;1;Broumov;Broumy;
55003-Nové Město, Brozany nad Ohří;55003;1;Nové Město;Brozany nad Ohří;
55101-Jaroměř, Jaroměřice;55101;1;Jaroměř;Jaroměřice;
55102-Josefov, Jaroměřice nad Rokytnou;55102;1;Josefov;Jaroměřice nad Rokytnou;
55104-Pražské Předměstí, Jaroslavice;55104;1;Pražské Předměstí;Jaroslavice;
55201-Dolany, Dolany;55201;1;Dolany;Dolany;
55203-Česká Skalice, Česká Skalice;55203;1;Česká Skalice;Česká Skalice;
55204-Chvalkovice, Chvalšiny;55204;1;Chvalkovice;Chvalšiny;
55205-Hořičky, Horka nad Moravou;55205;1;Hořičky;Horka nad Moravou;
55211-Velichovky, Velichovky;55211;1;Velichovky;Velichovky;
55212-Heřmanice, Heřmanova Huť;55212;1;Heřmanice;Heřmanova Huť;
55221-Rasošky, Rapšach;55221;1;Rasošky;Rapšach;
55222-Jasenná, Javorník;55222;1;Jasenná;Javorník;
55224-Velká Jesenice, Velká Jesenice;55224;1;Velká Jesenice;Velká Jesenice;
55225-Rychnovek, Rychvald;55225;1;Rychnovek;Rychvald;
56001-Česká Třebová, Česká Třebová;56001;1;Česká Třebová;Česká Třebová;
56002-Česká Třebová, Česká Třebová;56002;1;Česká Třebová;Česká Třebová;
56003-Parník, Česká Třebová;56003;1;Parník;Česká Třebová;
56101-Hnátnice, Hněvošice;56101;1;Hnátnice;Hněvošice;
56102-Dolní Dobrouč, Dolní Dvořiště;56102;1;Dolní Dobrouč;Dolní Dvořiště;
56112-Brandýs nad Orlicí, Brandýs nad Orlicí;56112;1;Brandýs nad Orlicí;Brandýs nad Orlicí;
